# Time-averaged data for fix 4
# TimeStep v_sigma_xx v_sigma_yy v_sigma_zz v_f_tether
559000 -0.00616201 0.00616201 -0.0523553 -94.0324
560000 0.00495679 -0.00495679 0.0671518 120.608
561000 -0.00316798 0.00316798 0.00713718 12.8187
562000 -0.030469 0.030469 0.0354309 63.6354
563000 -0.0493051 0.0493051 0.0197816 35.5286
564000 0.00428331 -0.00428331 0.014761 26.5113
565000 0.00608551 -0.00608551 -0.00226745 -4.07244
566000 -0.0206568 0.0206568 0.0496164 89.1132
567000 0.0357739 -0.0357739 0.0212445 38.156
568000 -0.00440522 0.00440522 -0.0477869 -85.8272
569000 0.0430282 -0.0430282 0.0911359 163.684
570000 -0.00867209 0.00867209 0.00830553 14.9171
571000 -0.0215172 0.0215172 0.0190593 34.2314
572000 0.0015803 -0.0015803 0.0107686 19.3409
573000 -0.0199261 0.0199261 0.012422 22.3104
574000 0.0390974 -0.0390974 0.066728 119.846
575000 0.00262373 -0.00262373 0.0134142 24.0925
576000 0.00552512 -0.00552512 0.0140898 25.3059
577000 0.00831239 -0.00831239 -0.0282074 -50.6618
578000 0.00892481 -0.00892481 -0.0290518 -52.1782
579000 0.0337392 -0.0337392 0.00402732 7.23324
580000 0.0233411 -0.0233411 0.0293429 52.7011
581000 -0.0367733 0.0367733 0.012274 22.0446
582000 -0.0253523 0.0253523 -0.0141457 -25.4064
583000 -0.0515991 0.0515991 0.0690922 124.092
584000 -0.0096901 0.0096901 0.0375526 67.4461
585000 -0.0120953 0.0120953 -0.0250089 -44.9171
586000 0.00198329 -0.00198329 -0.000971925 -1.74562
587000 -0.0390501 0.0390501 0.0184856 33.201
588000 0.0377319 -0.0377319 -0.042542 -76.4073
589000 -0.0120335 0.0120335 0.0152781 27.4402
590000 -0.0202696 0.0202696 -0.0222745 -40.006
591000 -0.00584865 0.00584865 0.00138338 2.4846
592000 -0.0251733 0.0251733 0.00294089 5.28196
593000 -0.00259794 0.00259794 0.0243444 43.7237
594000 -0.018992 0.018992 -0.0196498 -35.2918
595000 0.0243499 -0.0243499 -0.0077509 -13.921
596000 0.00255484 -0.00255484 -0.00709588 -12.7445
597000 0.0073019 -0.0073019 -0.0264245 -47.4596
598000 -0.0104017 0.0104017 -0.109811 -197.225
599000 0.0248806 -0.0248806 -0.0001822 -0.327239
